shortTerm,longTerm,totalReturns,totalTrades,recommendedDifference
22,90,0.092915924510291,29,0.006
23,193,0.092830154131044,6,0.004
23,194,0.092830154131044,7,0.004
23,195,0.092830154131044,7,0.004
23,196,0.092830154131044,7,0.004
23,197,0.092830154131044,8,0.004
23,198,0.092830154131044,8,0.004
23,199,0.092830154131044,8,0.004
26,170,0.092830154131044,7,0.004
26,171,0.092830154131044,7,0.004
27,168,0.092830154131044,7,0.004
20,84,0.092682125571387,42,0.008
24,184,0.092541085158416,4,0.004
24,185,0.092541085158416,4,0.004
24,186,0.092541085158416,5,0.005
24,187,0.092541085158416,6,0.005
25,178,0.092541085158416,2,0.001
25,179,0.092541085158416,3,0.002
25,180,0.092541085158416,3,0.002
25,181,0.092541085158416,3,0.003
25,182,0.092541085158416,4,0.003
20,156,0.092452858978847,5,0.004
20,157,0.092452858978847,5,0.004
20,158,0.092452858978847,10,0.005
23,89,0.092051227249629,20,0.004
25,87,0.091876659742125,26,0.005
24,79,0.091826919109158,8,0.001
21,72,0.091523400709134,11,0.002
23,191,0.091161635087202,3,0.002
23,192,0.091161635087202,4,0.002
24,188,0.091161635087202,2,0.001
24,189,0.091161635087202,2,0.002
24,190,0.091161635087202,2,0.002
24,191,0.091161635087202,3,0.002
24,192,0.091161635087202,3,0.002
24,193,0.091161635087202,5,0.003
24,194,0.091161635087202,5,0.003
24,195,0.091161635087202,5,0.003
20,159,0.091092067916199,2,0.002
20,160,0.091092067916199,2,0.001
20,161,0.091092067916199,2,0.001
20,162,0.091092067916199,2,0.001
20,163,0.091092067916199,2,0.002
21,157,0.091092067916199,2,0.002
21,158,0.091092067916199,2,0.001
21,159,0.091092067916199,2,0.002
29,165,0.090840315618435,7,0.005
23,187,0.09077766276104,13,0.009
23,188,0.09077766276104,14,0.01
23,189,0.09077766276104,14,0.01
23,190,0.09077766276104,14,0.01
21,154,0.090543320945481,3,0.003
21,155,0.090543320945481,2,0.002
21,156,0.090543320945481,3,0.002
22,153,0.090543320945481,2,0.002
22,154,0.090543320945481,3,0.002
22,155,0.090543320945481,3,0.002
22,156,0.090543320945481,3,0.002
22,157,0.090543320945481,3,0.003
23,152,0.090543320945481,2,0.001
23,153,0.090543320945481,2,0.001
23,154,0.090543320945481,2,0.001
23,155,0.090543320945481,3,0.002
24,153,0.090543320945481,2,0.002
23,82,0.090495268554256,47,0.008
22,74,0.089167224579091,6,0.001
26,172,0.088918702755881,8,0.005
26,173,0.088918702755881,8,0.005
26,174,0.088918702755881,9,0.006
26,175,0.088918702755881,9,0.006
26,176,0.088918702755881,9,0.007
27,169,0.088918702755881,9,0.005
27,170,0.088918702755881,9,0.006
27,171,0.088918702755881,9,0.006
28,167,0.088918702755881,9,0.005
28,168,0.088918702755881,9,0.006
29,166,0.088918702755881,9,0.006
27,172,0.088139009838672,3,0.002
26,85,0.088075549200429,19,0.003
24,83,0.087763673648869,35,0.005
25,183,0.087553526443294,14,0.01
26,177,0.087553526443294,11,0.008
26,178,0.087553526443294,11,0.008
26,179,0.087553526443294,12,0.009
26,180,0.087553526443294,12,0.009
27,173,0.087553526443294,11,0.007
27,174,0.087553526443294,11,0.008
27,175,0.087553526443294,11,0.008
27,176,0.087553526443294,11,0.008
28,169,0.087553526443294,11,0.007
28,171,0.087553526443294,12,0.008
29,167,0.087553526443294,11,0.007
29,168,0.087553526443294,12,0.008
25,184,0.086802942389744,7,0.006
25,185,0.086802942389744,8,0.007
26,181,0.086802942389744,6,0.005
23,72,0.086428596859887,6,0.001
22,82,0.085972935334485,46,0.008
24,82,0.085550409857072,43,0.007
26,182,0.085461469868955,4,0.003
26,183,0.085461469868955,5,0.004
26,184,0.085461469868955,5,0.004
27,177,0.085461469868955,2,0.001
27,178,0.085461469868955,2,0.001
27,179,0.085461469868955,3,0.002
27,180,0.085461469868955,3,0.002
28,176,0.085461469868955,3,0.002
25,186,0.085434088794653,11,0.008
25,187,0.085434088794653,13,0.009
25,188,0.085434088794653,13,0.009
25,189,0.085434088794653,13,0.009
29,82,0.085098125716904,26,0.004
21,83,0.085055303674863,42,0.007
28,170,0.084203883731486,5,0.003
28,172,0.084203883731486,6,0.004
29,169,0.084203883731486,6,0.004
25,190,0.084090958569882,3,0.002
25,191,0.084090958569882,4,0.003
25,192,0.084090958569882,4,0.003
25,193,0.084090958569882,4,0.003
25,194,0.084090958569882,6,0.004
25,195,0.084090958569882,6,0.004
26,185,0.084090958569882,2,0.001
26,186,0.084090958569882,2,0.001
26,187,0.084090958569882,3,0.002
26,188,0.084090958569882,3,0.002
28,173,0.083949561880416,8,0.005
28,174,0.083949561880416,8,0.005
29,170,0.083949561880416,8,0.005
29,171,0.083949561880416,9,0.006
24,196,0.083522004901238,7,0.004
24,197,0.083522004901238,8,0.004
24,198,0.083522004901238,9,0.005
24,199,0.083522004901238,9,0.005
28,178,0.083438667527666,3,0.002
28,179,0.083438667527666,3,0.002
28,180,0.083438667527666,3,0.002
28,181,0.083438667527666,4,0.003
29,175,0.083438667527666,2,0.001
29,176,0.083438667527666,2,0.001
29,177,0.083438667527666,2,0.001
29,178,0.083438667527666,3,0.002
26,86,0.082725656318321,22,0.004
27,181,0.082260920966893,7,0.005
28,175,0.082260920966893,5,0.003
